지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
90,속초,2020-06-01 01:00,29
90,속초,2020-06-01 02:00,18
90,속초,2020-06-01 03:00,27
90,속초,2020-06-01 04:00,16
90,속초,2020-06-01 05:00,15
90,속초,2020-06-01 06:00,12
90,속초,2020-06-01 07:00,16
90,속초,2020-06-01 08:00,12
90,속초,2020-06-01 09:00,29
90,속초,2020-06-01 10:00,27
90,속초,2020-06-01 11:00,33
90,속초,2020-06-01 12:00,30
90,속초,2020-06-01 13:00,25
90,속초,2020-06-01 14:00,24
90,속초,2020-06-01 15:00,22
90,속초,2020-06-01 16:00,35
90,속초,2020-06-01 17:00,31
90,속초,2020-06-01 18:00,37
90,속초,2020-06-01 19:00,27
90,속초,2020-06-01 20:00,27
90,속초,2020-06-01 21:00,19
90,속초,2020-06-01 22:00,14
90,속초,2020-06-01 23:00,7
90,속초,2020-06-02 01:00,8
90,속초,2020-06-02 05:00,8
90,속초,2020-06-02 07:00,12
90,속초,2020-06-02 08:00,9
90,속초,2020-06-02 09:00,20
90,속초,2020-06-02 10:00,17
90,속초,2020-06-02 11:00,18
90,속초,2020-06-02 12:00,24
90,속초,2020-06-02 13:00,24
90,속초,2020-06-02 14:00,26
90,속초,2020-06-02 15:00,17
90,속초,2020-06-02 16:00,59
90,속초,2020-06-02 17:00,64
90,속초,2020-06-02 18:00,20
90,속초,2020-06-02 19:00,5
90,속초,2020-06-02 20:00,2
90,속초,2020-06-02 21:00,4
90,속초,2020-06-02 23:00,7
90,속초,2020-06-03 01:00,5
90,속초,2020-06-03 02:00,6
90,속초,2020-06-03 03:00,5
90,속초,2020-06-03 04:00,10
90,속초,2020-06-03 05:00,18
90,속초,2020-06-03 06:00,40
90,속초,2020-06-03 07:00,37
90,속초,2020-06-03 08:00,35
90,속초,2020-06-03 09:00,50
90,속초,2020-06-03 10:00,57
90,속초,2020-06-03 11:00,62
90,속초,2020-06-03 12:00,56
90,속초,2020-06-03 13:00,54
90,속초,2020-06-03 14:00,51
90,속초,2020-06-03 15:00,48
90,속초,2020-06-03 16:00,55
90,속초,2020-06-03 17:00,41
90,속초,2020-06-03 18:00,41
90,속초,2020-06-03 19:00,46
90,속초,2020-06-03 20:00,51
90,속초,2020-06-03 21:00,22
90,속초,2020-06-03 22:00,44
90,속초,2020-06-03 23:00,43
90,속초,2020-06-04 00:00,49
90,속초,2020-06-04 01:00,52
90,속초,2020-06-04 02:00,41
90,속초,2020-06-04 03:00,51
90,속초,2020-06-04 04:00,56
90,속초,2020-06-04 05:00,58
90,속초,2020-06-04 06:00,69
90,속초,2020-06-04 07:00,80
90,속초,2020-06-04 08:00,84
90,속초,2020-06-04 09:00,105
90,속초,2020-06-04 10:00,103
90,속초,2020-06-04 11:00,110
90,속초,2020-06-04 12:00,113
90,속초,2020-06-04 13:00,105
90,속초,2020-06-04 14:00,104
90,속초,2020-06-04 15:00,101
90,속초,2020-06-04 16:00,74
90,속초,2020-06-04 17:00,87
90,속초,2020-06-04 18:00,96
90,속초,2020-06-04 19:00,106
90,속초,2020-06-04 20:00,97
90,속초,2020-06-04 21:00,87
90,속초,2020-06-04 22:00,71
90,속초,2020-06-04 23:00,62
90,속초,2020-06-05 00:00,53
90,속초,2020-06-05 01:00,58
90,속초,2020-06-05 02:00,46
90,속초,2020-06-05 03:00,45
90,속초,2020-06-05 04:00,57
90,속초,2020-06-05 05:00,38
90,속초,2020-06-05 06:00,33
90,속초,2020-06-05 07:00,36
90,속초,2020-06-05 08:00,51
90,속초,2020-06-05 09:00,51
90,속초,2020-06-05 10:00,61
90,속초,2020-06-05 11:00,52
90,속초,2020-06-05 12:00,48
90,속초,2020-06-05 13:00,47
90,속초,2020-06-05 14:00,46
90,속초,2020-06-05 15:00,53
90,속초,2020-06-05 16:00,53
90,속초,2020-06-05 17:00,52
90,속초,2020-06-05 18:00,50
90,속초,2020-06-05 19:00,52
90,속초,2020-06-05 20:00,43
90,속초,2020-06-05 21:00,47
90,속초,2020-06-05 22:00,44
90,속초,2020-06-05 23:00,31
90,속초,2020-06-06 00:00,37
90,속초,2020-06-06 01:00,41
90,속초,2020-06-06 02:00,33
90,속초,2020-06-06 03:00,36
90,속초,2020-06-06 04:00,40
90,속초,2020-06-06 05:00,27
90,속초,2020-06-06 06:00,45
90,속초,2020-06-06 07:00,39
90,속초,2020-06-06 08:00,54
90,속초,2020-06-06 09:00,55
90,속초,2020-06-06 10:00,55
90,속초,2020-06-06 11:00,51
90,속초,2020-06-06 12:00,76
90,속초,2020-06-06 13:00,68
90,속초,2020-06-06 14:00,43
90,속초,2020-06-06 15:00,36
90,속초,2020-06-06 16:00,42
90,속초,2020-06-06 17:00,38
90,속초,2020-06-06 18:00,30
90,속초,2020-06-06 19:00,25
90,속초,2020-06-06 20:00,22
90,속초,2020-06-06 21:00,12
90,속초,2020-06-06 22:00,7
90,속초,2020-06-06 23:00,6
90,속초,2020-06-07 00:00,11
90,속초,2020-06-07 01:00,10
90,속초,2020-06-07 02:00,9
90,속초,2020-06-07 03:00,10
90,속초,2020-06-07 04:00,9
90,속초,2020-06-07 05:00,10
90,속초,2020-06-07 06:00,15
90,속초,2020-06-07 07:00,31
90,속초,2020-06-07 08:00,25
90,속초,2020-06-07 09:00,29
90,속초,2020-06-07 10:00,36
90,속초,2020-06-07 11:00,41
90,속초,2020-06-07 12:00,38
90,속초,2020-06-07 13:00,35
90,속초,2020-06-07 14:00,32
90,속초,2020-06-07 15:00,30
90,속초,2020-06-07 16:00,28
90,속초,2020-06-07 17:00,21
90,속초,2020-06-07 18:00,25
90,속초,2020-06-07 19:00,28
90,속초,2020-06-07 20:00,26
90,속초,2020-06-07 21:00,25
90,속초,2020-06-07 22:00,23
90,속초,2020-06-07 23:00,29
90,속초,2020-06-08 00:00,17
90,속초,2020-06-08 01:00,15
90,속초,2020-06-08 02:00,21
90,속초,2020-06-08 03:00,20
90,속초,2020-06-08 04:00,24
90,속초,2020-06-08 05:00,21
90,속초,2020-06-08 06:00,20
90,속초,2020-06-08 07:00,21
90,속초,2020-06-08 08:00,35
90,속초,2020-06-08 09:00,47
90,속초,2020-06-08 10:00,49
90,속초,2020-06-08 11:00,60
90,속초,2020-06-08 12:00,68
90,속초,2020-06-08 13:00,78
90,속초,2020-06-08 14:00,76
90,속초,2020-06-08 15:00,74
90,속초,2020-06-08 16:00,74
90,속초,2020-06-08 17:00,68
90,속초,2020-06-08 18:00,64
90,속초,2020-06-08 19:00,48
90,속초,2020-06-08 20:00,44
90,속초,2020-06-08 21:00,37
90,속초,2020-06-08 22:00,25
90,속초,2020-06-08 23:00,26
90,속초,2020-06-09 00:00,26
90,속초,2020-06-09 01:00,37
90,속초,2020-06-09 02:00,43
90,속초,2020-06-09 03:00,48
90,속초,2020-06-09 04:00,42
90,속초,2020-06-09 05:00,48
90,속초,2020-06-09 06:00,51
90,속초,2020-06-09 07:00,54
90,속초,2020-06-09 08:00,65
90,속초,2020-06-09 09:00,73
90,속초,2020-06-09 10:00,84
90,속초,2020-06-09 11:00,84
90,속초,2020-06-09 12:00,90
90,속초,2020-06-09 13:00,82
90,속초,2020-06-09 14:00,85
90,속초,2020-06-09 15:00,78
90,속초,2020-06-09 16:00,62
90,속초,2020-06-09 17:00,67
90,속초,2020-06-09 18:00,54
90,속초,2020-06-09 19:00,44
90,속초,2020-06-09 20:00,36
90,속초,2020-06-09 21:00,34
90,속초,2020-06-09 22:00,27
90,속초,2020-06-09 23:00,26
90,속초,2020-06-10 00:00,34
90,속초,2020-06-10 01:00,44
90,속초,2020-06-10 02:00,47
90,속초,2020-06-10 03:00,36
90,속초,2020-06-10 04:00,35
90,속초,2020-06-10 05:00,39
90,속초,2020-06-10 06:00,44
90,속초,2020-06-10 07:00,38
90,속초,2020-06-10 08:00,47
90,속초,2020-06-10 09:00,59
90,속초,2020-06-10 10:00,66
90,속초,2020-06-10 11:00,70
90,속초,2020-06-10 12:00,76
90,속초,2020-06-10 13:00,68
90,속초,2020-06-10 14:00,73
90,속초,2020-06-10 15:00,79
90,속초,2020-06-10 16:00,81
90,속초,2020-06-10 17:00,81
90,속초,2020-06-10 18:00,73
90,속초,2020-06-10 19:00,56
90,속초,2020-06-10 20:00,48
90,속초,2020-06-10 21:00,49
90,속초,2020-06-10 22:00,47
90,속초,2020-06-10 23:00,46
90,속초,2020-06-11 00:00,53
90,속초,2020-06-11 01:00,41
90,속초,2020-06-11 02:00,43
90,속초,2020-06-11 03:00,31
90,속초,2020-06-11 04:00,27
90,속초,2020-06-11 05:00,26
90,속초,2020-06-11 06:00,31
90,속초,2020-06-11 07:00,38
90,속초,2020-06-11 08:00,37
90,속초,2020-06-11 09:00,38
90,속초,2020-06-11 10:00,47
90,속초,2020-06-11 11:00,60
90,속초,2020-06-11 12:00,60
90,속초,2020-06-11 13:00,86
